label,sampler,schedule_kind,blend,nfe,actual_nfe,eta,cfg,omega,anneal,omega_start,omega_end,FID,IS,IS_std,seconds
G2_n10_w0.5_e0.0,ddim,cosine,1.0,10,10,0.0,1.0,0.5,0,0.5,0.5,107.178,4.866,0.123,25.2
G2_n10_w0.5_e0.5,ddim,cosine,1.0,10,10,0.5,1.0,0.5,0,0.5,0.5,99.512,4.894,0.277,24.8
G2_n10_w0.5_e1.0,ddim,cosine,1.0,10,10,1.0,1.0,0.5,0,0.5,0.5,99.793,4.447,0.133,25.3
G2_n10_w1.0_e0.0,ddim,cosine,1.0,10,10,0.0,1.0,1.0,0,1.0,1.0,99.133,5.173,0.18,24.6
G2_n10_w1.0_e0.5,ddim,cosine,1.0,10,10,0.5,1.0,1.0,0,1.0,1.0,93.338,5.191,0.169,24.8
G2_n10_w1.0_e1.0,ddim,cosine,1.0,10,10,1.0,1.0,1.0,0,1.0,1.0,92.492,4.882,0.141,24.5
G2_n10_w1.5_e0.0,ddim,cosine,1.0,10,10,0.0,1.0,1.5,0,1.5,1.5,94.133,5.326,0.189,24.8
G2_n10_w1.5_e0.5,ddim,cosine,1.0,10,10,0.5,1.0,1.5,0,1.5,1.5,87.875,5.413,0.208,24.9
G2_n10_w1.5_e1.0,ddim,cosine,1.0,10,10,1.0,1.0,1.5,0,1.5,1.5,87.311,5.225,0.296,24.8
G2_n10_w2.0_e0.0,ddim,cosine,1.0,10,10,0.0,1.0,2.0,0,2.0,2.0,93.133,5.611,0.19,24.7
G2_n10_w2.0_e0.5,ddim,cosine,1.0,10,10,0.5,1.0,2.0,0,2.0,2.0,86.229,5.668,0.276,24.7
G2_n10_w2.0_e1.0,ddim,cosine,1.0,10,10,1.0,1.0,2.0,0,2.0,2.0,87.49,5.4,0.236,24.9
G2_n10_w2.5_e0.0,ddim,cosine,1.0,10,10,0.0,1.0,2.5,0,2.5,2.5,92.966,5.473,0.208,25.0
