label,sampler,schedule_kind,blend,nfe,actual_nfe,eta,cfg,omega,anneal,omega_start,omega_end,FID,IS,IS_std,seconds,model
G4_n20_w0.5_e0.0,ddim,cosine,1.0,20,20,0.0,1.0,0.5,0,0.5,0.5,76.35,5.235,0.2,41.0,ema_100000
G4_n20_w0.5_e0.5,ddim,cosine,1.0,20,20,0.5,1.0,0.5,0,0.5,0.5,68.755,5.33,0.226,40.6,ema_100000
G4_n20_w0.5_e1.0,ddim,cosine,1.0,20,20,1.0,1.0,0.5,0,0.5,0.5,63.987,5.059,0.233,40.6,ema_100000
G4_n20_w1.0_e0.0,ddim,cosine,1.0,20,20,0.0,1.0,1.0,0,1.0,1.0,70.928,5.586,0.225,40.9,ema_100000
G4_n20_w1.0_e0.5,ddim,cosine,1.0,20,20,0.5,1.0,1.0,0,1.0,1.0,63.097,5.588,0.204,40.5,ema_100000
G4_n20_w1.0_e1.0,ddim,cosine,1.0,20,20,1.0,1.0,1.0,0,1.0,1.0,54.914,5.703,0.127,40.9,ema_100000
G4_n20_w1.5_e0.0,ddim,cosine,1.0,20,20,0.0,1.0,1.5,0,1.5,1.5,65.87,5.91,0.265,40.9,ema_100000
G4_n20_w1.5_e0.5,ddim,cosine,1.0,20,20,0.5,1.0,1.5,0,1.5,1.5,61.953,6.073,0.094,41.2,ema_100000
G4_n20_w1.5_e1.0,ddim,cosine,1.0,20,20,1.0,1.0,1.5,0,1.5,1.5,54.043,6.092,0.302,41.0,ema_100000
G4_n20_w2.0_e0.0,ddim,cosine,1.0,20,20,0.0,1.0,2.0,0,2.0,2.0,67.233,5.889,0.219,40.5,ema_100000
G4_n20_w2.0_e0.5,ddim,cosine,1.0,20,20,0.5,1.0,2.0,0,2.0,2.0,60.411,6.222,0.261,40.9,ema_100000
G4_n20_w2.0_e1.0,ddim,cosine,1.0,20,20,1.0,1.0,2.0,0,2.0,2.0,54.225,6.508,0.224,40.9,ema_100000
G4_n20_w3.0_e0.0,ddim,cosine,1.0,20,20,0.0,1.0,3.0,0,3.0,3.0,65.357,6.296,0.266,40.3,ema_100000
G4_n20_w3.0_e0.5,ddim,cosine,1.0,20,20,0.5,1.0,3.0,0,3.0,3.0,62.461,6.541,0.288,41.0,ema_100000
G4_n20_w3.0_e1.0,ddim,cosine,1.0,20,20,1.0,1.0,3.0,0,3.0,3.0,58.194,6.774,0.209,40.8,ema_100000
G4_n50_w0.5_e0.0,ddim,cosine,1.0,50,50,0.0,1.0,0.5,0,0.5,0.5,47.011,5.963,0.313,89.4,ema_100000
G4_n50_w0.5_e0.5,ddim,cosine,1.0,50,50,0.5,1.0,0.5,0,0.5,0.5,40.077,5.921,0.29,89.5,ema_100000
G4_n50_w0.5_e1.0,ddim,cosine,1.0,50,50,1.0,1.0,0.5,0,0.5,0.5,40.565,5.717,0.292,89.5,ema_100000
G4_n50_w1.0_e0.0,ddim,cosine,1.0,50,50,0.0,1.0,1.0,0,1.0,1.0,40.415,6.397,0.343,89.8,ema_100000
G4_n50_w1.0_e0.5,ddim,cosine,1.0,50,50,0.5,1.0,1.0,0,1.0,1.0,34.568,6.515,0.323,89.4,ema_100000
G4_n50_w1.0_e1.0,ddim,cosine,1.0,50,50,1.0,1.0,1.0,0,1.0,1.0,32.55,6.386,0.274,89.7,ema_100000
G4_n50_w1.5_e0.0,ddim,cosine,1.0,50,50,0.0,1.0,1.5,0,1.5,1.5,37.493,6.835,0.243,89.3,ema_100000
